Identifier,Title,ShortTitle,ValueType
CA-FPG25OTHER,Amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Other provision,grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Other provision,count
CA-FPG25RENT,Amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Rent,grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Rent,count
CA-FPG25TOT,Total amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995,Total grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995,count
CA-FPG25TRAV,Amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Travel,grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Travel,count
CA-FPP12ASYM,Number of Payments under Section 12 of the Social Work (Scotland) Act 1968 for Asylum Seekers,Payments under Section 12 of the Social Work (Scotland) Act 1968 for Asylum Seekers,count
CA-FPP12ENGY,Number of Payments under Section 12 of the Social Work (Scotland) Act 1968 for Energy,Payments under Section 12 of the Social Work (Scotland) Act 1968 for Energy,count
CA-FPP12FOOD,Number of Payments under Section 12 of the Social Work (Scotland) Act 1968 for Food,Payments under Section 12 of the Social Work (Scotland) Act 1968 for Food,count
CA-FPP12OTHER,Number of Payments under Section 12 of the Social Work (Scotland) Act 1968 for Other provision,Payments under Section 12 of the Social Work (Scotland) Act 1968 for Other provision,count
CA-FPP12RENT,Number of Payments under Section 12 of the Social Work (Scotland) Act 1968 for Rent,Payments under Section 12 of the Social Work (Scotland) Act 1968 for Rent,count
CA-FPP12TOT,Total number of Payments under Section 12 of the Social Work (Scotland) Act 1968,Total Payments under Section 12 of the Social Work (Scotland) Act 1968,count
CA-FPP12TRAV,Number of Payments under Section 12 of the Social Work (Scotland) Act 1968 for Travel,Payments under Section 12 of the Social Work (Scotland) Act 1968 for Travel,count
CA-FPP22ASYM,Number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Asylum Seekers,Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Asylum Seekers,count
CA-FPP22CHILD,Number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Day Care for children in need,Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Day Care for children in need,count
CA-FPP22ENGY,Number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Energy,Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Energy,count
CA-FPP22FOOD,Number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Food,Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Food,count
CA-FPP22OTHER,Number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Other provision,Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Other provision,count
CA-FPP22RENT,Number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Rent,Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Rent,count
CA-FPP22TOT,Total number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995,Total Payments under Sections 22 and 25 of the Children (Scotland) Act 1995,count
CA-FPP22TRAV,Number of Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Travel,Payments under Sections 22 and 25 of the Children (Scotland) Act 1995 for Travel,count
CA-FPR12ASYM,Amount grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Asylum Seekers,grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Asylum Seekers,count
CA-FPR12ENGY,Amount grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Energy,grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Energy,count
CA-FPR12FOOD,Amount grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Food,grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Food,count
CA-FPR12OTHER,Amount grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Other provision,grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Other provision,count
CA-FPR12RENT,Amount grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Rent,grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Rent,count
CA-FPR12TOT,Total amount grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968,grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Energy,count
CA-FPR12TRAV,Amount grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Travel,grant/loan recovered under Section 12 of the Social Work (Scotland) Act 1968 for Travel,count
CA-FPR25ASYM,Amount grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Asylum Seekers,grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Asylum Seekers,count
CA-FPR25CHILD,Amount grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Day Care for children in need,grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Day Care for children in need,count
CA-FPR25ENGY,Amount grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Energy,grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Energy,count
CA-FPR25FOOD,Amount grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Food,grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Food,count
CA-FPR25OTHER,Amount grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Other provision,grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Other provision,count
CA-FPR25RENT,Amount grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Rent,grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995 for Rent,count
CA-FPR25TOT,Total amount grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995,Total grant/loan recovered under Sections 22 and 25 of the Children (Scotland) Act 1995,count
CA-FPR25TRAV,Amount grant/loan recovered under Sections 22 and 25 of theChildren (Scotland) Act 1995 for Travel,grant/loan recovered under Sections 22 and 25 of theChildren (Scotland) Act 1995 for Travel,count
CA-H1Alone,Home Care Clients living alone,Home Care Clients living alone,count
CA-H1Alone1000,Home Care Clients living alone per 1000 population,Home Care Clients living alone per 1000 population,ratio
CA-H1Dementia,Home care clients with dementia,Home care clients with dementia,count
CA-H1Dementia1000,Home care clients with dementia per 1000 population,Home care clients with dementia per 1000 population,ratio
CA-H1HIV,"Home care clients with HIV, AIDS, Alcohol or drugs problems","Home care clients with HIV, AIDS, Alcohol or drugs problems",count
CA-H1HIV1000,"Home care clients with HIV, AIDS, Alcohol or drugs problems per 1000 population","Home care clients with HIV, AIDS, Alcohol or drugs problems per 1000 population",ratio
CA-H1Hoursn,Number of Hours of Home Care Bought or Supplied by the Local Authority,Home Care Hours,count
CA-H1LearnDis,Home care clients with Learning Disabilities,Home care clients with Learning Disabilities,count
CA-H1LearnDis1000,Home care clients with Learning Disabilities per 1000 population,Home care clients with Learning Disabilities per 1000 population,ratio
CA-H1MentalHP,Home care clients with Mental Health Problems,Home care clients with Mental Health Problems,count
CA-H1MentalHP1000,Home care clients with Mental Health Problems per 1000 population,Home care clients with Mental Health Problems per 1000 population,ratio
CA-H1Other,Home care clients in other client groups,Home care clients in other client groups,count
CA-H1Other1000,Home care clients in other client groups per 1000 population,Home care clients in other client groups per 1000 population,ratio
CA-H1othliv,Home Care Clients in other living arrangements,Home Care Clients in other living arrangements,count
CA-H1othliv1000,Home Care Clients in other living arrangements per 1000 population,Home Care Clients in other living arrangements per 1000 population,ratio
CA-H1PhysDis,Home care clients with Physical Disabilities,Home care clients with Physical Disabilities,count
CA-H1PhysDis1000,Home care clients with Physical Disabilities per 1000 population,Home care clients with Physical Disabilities per 1000 population,ratio
CA-H1Twop,Home Care Clients living where there are 2 or more clients living in the household,Home Care Clients living where there are 2 or more clients living in the household,count
CA-H1Twop1000,Home Care Clients living where there are 2 or more clients living in the household per 1000 population,Home Care Clients living where there are 2 or more clients living in the household per 1000 population,ratio
CA-homecare,% of people aged 65+ with high levels of care needs who are cared for at home,Intensive home care,count
CA-HOMRATE,"Homicides recorded by the police in 1996-2003 - rate per 10,000 population","Homicide rate (1996-2003) per 10,000 population",ratio
CA-HOMRATEB,"Homicides recorded by the police in 1997/98 - 2004/05 - rate per 10,000 population","Homicide rate (1997/98 - 2004/05) per 10,000 population",ratio
CA-intH1n,Home Care Clients Receiving 10+ hours Care per Week,Home Care Clients Receiving 10+ hours Care per Week,count
CA-intH1popn,Number of Home Care Clients Receiving 10+ Hours per week per 1000 population,Home Care Clients Receiving 10+ Hours per week per 1000 population,ratio
CA-MaleH1n,Number of Home Care Clients who are Male,Number of Home Care Clients who are Male,count
CA-meanh1hoursn,Average Number of Hours of Care Provided or Purchased by the Local Authority per Client,Average Home Care Hours per Client per week,ratio
CA-nolan,Number of Home Care Clients Receiving a Service from their Local Authority,Home Care Clients Receiving a Local Authority provided service,count
CA-noprin,Number of Home Care Clients Receiving a Service from the Private or Voluntary Sector,Home Care Clients Receiving a Service from the Private or Voluntary Sector,count
CA-NRB162905,"Number of Newly Registered Blind Persons Aged 16-29, 2005","Number of Newly Registered Blind Persons Aged 16-29, 2005",count
CA-NRB1629pop05,"Newly Registered Blind Persons Aged 16-29 per 1,000 population, 2005","Newly Registered Blind Persons Aged 16-29 per 1,000 population, 2005",ratio
CA-NRB304905,"Number of Newly Registered Blind Persons Aged 30-49, 2005","Number of Newly Registered Blind Persons Aged 30-49, 2005",count
CA-NRB3049pop,"Newly Registered Blind Persons Aged 30-49 per 1,000 population, 2005","Newly Registered Blind Persons Aged 30-49 per 1,000 population, 2005",ratio
